formula_discharge,composite_score,confidence_rank_sigma,average_voltage_pred,average_voltage_sigma,average_voltage_lcb,average_voltage_ucb,average_voltage_epi_frac,capacity_grav_pred,capacity_grav_sigma,capacity_grav_lcb,capacity_grav_ucb,capacity_grav_epi_frac,max_delta_volume_pred,max_delta_volume_sigma,max_delta_volume_lcb,max_delta_volume_ucb,max_delta_volume_epi_frac,framework,substitution
NaTi4O8,-1.61853139537236,0.2606147391167466,1.6826638708697401,0.27012207664207555,0.5578485456269469,2.807479196112533,0.8121733728257308,84.35147056489714,11.362165542437513,34.80218000021762,133.90076112957667,0.9043260385603678,0.05178312761142845,0.027798693016240127,-0.0643682233040629,0.16793447852691978,0.8214423312978438,Na1O8,Ti->slot4.0
Na5CrO4,-1.6278096988250317,0.3757368547782119,1.822751406202989,0.48288969151062994,-0.18804953300582716,3.833552345411805,0.9369079036171839,170.7200277257243,29.16352868626651,43.5407368264663,297.8993186249823,0.9661435481784892,0.061730406890563395,0.018437028114548382,-0.015305075357491323,0.13876588913861812,0.8643781355615273,Na5O4,Cr->slot1.0
NaNiF4,-1.629675382862433,0.4042074702917184,4.701237086269709,0.2500089687249214,3.660174752654676,5.742299419884741,0.8803430086774384,134.16042754553004,28.30372478236884,10.730657219947133,257.59019787111293,0.9604841633251473,0.14964103895168243,0.04132197451668554,-0.023014674027506288,0.32229675193087115,0.8946410033026949,F4Na1,Ni->slot1.0
Na9Co(Ni7O16)2,-1.6310954892184286,0.3434145809897648,3.5878449235984826,0.3246425407818026,2.2360009364778444,4.939688910719121,0.9156650757424822,86.51042655849145,18.70043841638458,4.959647059678247,168.06120605730464,0.8698644950272026,0.06940621994312629,0.034179824520249355,-0.07340742923678611,0.2122198691230387,0.892243733554566,Na9O32,Ni/Co mix slot15.0
Na9Co(NiO2)20,-1.6323868314033767,0.33423890709797927,3.711397497900221,0.2229120391925048,2.783169487136454,4.639625508663988,0.8654452248278444,79.50831542140914,18.543515510339496,-1.358138660841476,160.37476950365976,0.9393567228756498,0.07158921815107552,0.03898833079476386,-0.09131582523014664,0.2344942615322977,0.9469517356943676,Na9O40,Ni/Co mix slot21.0
Na7Cr2O6,-1.637356991766822,0.3953224226505252,1.9933040784799876,0.5088742984832594,-0.12569936126695636,4.112307518226931,0.9518821051971635,168.47063029538128,25.288981482659295,58.1878600885084,278.7534005022542,0.9572849040892306,0.07025520367059111,0.02587716928781278,-0.03786743968146836,0.17837784702265058,0.9113846261519502,Na7O6,Cr->slot2.0
Na2CrO2,-1.6385908075932434,0.3942505483513304,1.891760202590799,0.5527671551004424,-0.41001747910420816,4.193537884285806,0.9455242590954259,180.170848581043,24.16707616265481,74.78059754046247,285.56109962162355,0.9564450369882593,0.09772298271680295,0.024096955771269482,-0.002961389895559413,0.1984073553291653,0.8337179520299797,Na2O2,Cr->slot1.0
NaNiO,-1.6555101360073026,0.31290911351391465,1.9810095806155457,0.18933501997620023,1.192599633817411,2.7694195274136804,0.8638137633499502,154.1965306637986,28.671449283495047,29.16314982171677,279.2299115058804,0.9633577950702874,0.1000434232580271,0.02407896852534982,-0.0005657931981951914,0.2006526397142494,0.8942307611317124,Na1O1,Ni->slot1.0
NaFe2CoO4,-1.661913518906902,0.27972444162651144,3.2398148316188715,0.19483699593290463,2.42849410702667,4.051135556211073,0.8251022842585607,91.12610426539882,21.12336582415026,-0.9908242387343904,183.24303276953202,0.958245495462383,0.10801998449089154,0.025296600628428353,0.00232313266965338,0.21371683631212968,0.8773383122078986,Na1O4,Fe/Co mix slot3.0
NaCr8O13,-1.6735536406223417,0.3725570845126045,4.051007642157094,0.6789379134553021,1.2238423121837108,6.878172972130477,0.9556353351335651,66.63484004156228,17.754087649054576,-10.78899649277777,144.05867657590233,0.9444308620184544,0.03212179469554244,0.018600147575374412,-0.04559525001749873,0.1098388394085836,0.836449957767698,Na1O13,Cr->slot8.0
Na(Fe3O4)2,-1.6772071822533645,0.2937636319753117,3.6251731910522906,0.3499995985228222,2.167739881116108,5.082606500988473,0.9339384575515559,47.751726095688504,12.479502082584204,-6.67015963401316,102.17361182539017,0.8611258523150418,0.06382113587410063,0.028729724841568476,-0.05622034772475204,0.1838626194729533,0.9490259813150098,Na1O8,Fe->slot6.0
NaNiAsO4,-1.6827313292742547,0.35939583531860847,3.950740392163042,0.19054771334616366,3.157280668966355,4.74420011535973,0.83947464616501,92.7289445651527,15.639251993884836,24.527699092627927,160.93019003767748,0.8722118085118358,0.11465169559497379,0.050370669257020446,-0.09581220201713242,0.32511559320708,0.8868133255805644,As1Na1O4,Ni->slot1.0
NaCu5O6,-1.691752934895273,0.28143122666958054,3.680783596548472,0.33284401010768455,2.294787871436109,5.066779321660835,0.9447096594214559,60.67114125275937,14.787024411533176,-3.8136232419572025,125.15590574747594,0.8342378143431008,0.09905422096429697,0.02425729703946225,-0.002300105983588027,0.200408547912182,0.8924917144936179,Na1O6,Cu->slot5.0
Na3Co2O5,-1.7151967151349017,0.41928265770598205,2.718831553874951,0.17689230189501043,1.982234328789092,3.45542877896081,0.6865004598022961,184.87005711395187,32.37795824898704,43.67295387002645,326.0671603578773,0.9664523453691182,0.10678816952031327,0.04464441804404356,-0.07974971784087305,0.2933260568814996,0.9151115241819404,Na3O5,Co->slot2.0
NaCo3O4,-1.718277529882958,0.30242151077544116,3.314425170723296,0.3232152909186938,1.9685243946831155,4.660325946763477,0.9491380598790338,91.07875016881037,19.340774942635605,6.735525824876291,175.42197451274444,0.9501849548202501,0.10442418792885615,0.024159766279312204,0.0034773740083147153,0.20537100184939758,0.9065399390022312,Na1O4,Co->slot3.0
Na3Ni6O13,-1.71957196447677,0.34625990201584717,3.774250022968946,0.28215522223597833,2.599327476786806,4.949172569151086,0.9123664524581828,76.42194091922701,16.950194741702653,2.503802581282031,150.340079257172,0.9173728624833228,0.07215986905472808,0.03974940041504756,-0.09392515348900536,0.23824489159846152,0.9233731266206298,Na3O13,Ni->slot6.0
Na14Ti2O9,-1.741574323640033,0.33164010771936175,0.9052231634935097,0.2303642439483483,-0.05403657270500217,1.8644828996920215,0.669446170195203,172.82345531621917,24.70497807824168,65.08746673017123,280.5594439022671,0.9310469196864861,0.08081117505577604,0.03044359509180855,-0.04639137704161933,0.2080137271531714,0.962129867538839,Na14O9,Ti->slot2.0
Na7Ti7O13,-1.746723420976904,0.3653407435718046,1.1726299094532124,0.29943328328702634,-0.0742402098495476,2.4195000287559725,0.8498454680999487,204.5623947741866,33.267398973481924,59.486527686040574,349.6382618623326,0.9609884059784126,0.09690272926728752,0.023197457424008094,-2.3267074664379273e-05,0.19382872560923942,0.9073275178400244,Na7O13,Ti->slot7.0
NaCu3O4,-1.7499652922951654,0.27845027702520747,3.465053932864347,0.30881584249244187,2.1791138992641583,4.750993966464535,0.9464186347000662,64.6390669269985,15.11978083972791,-1.2968157446451727,130.57494959864215,0.893554667228104,0.09979247290327145,0.024759829937349927,-0.0036615885513772567,0.20324653435792017,0.9194462250360002,Na1O4,Cu->slot3.0
Na13Co12(Ni2O9)6,-1.7511122089919002,0.37275000281476967,3.819987825323966,0.32397901391122425,2.4709068304104616,5.16906882023747,0.9170301196382424,93.07391422739921,18.69047965183012,11.566563924959809,174.58126452983862,0.941227065912155,0.08254611685541122,0.04091863862897134,-0.08842433674113911,0.2535165704519615,0.9204658195017404,Na13O54,Ni/Co mix slot24.0
NaV2O2,-1.7617182430025227,0.3864680789406516,1.5702357574662558,0.25921685856453086,0.49083085025082895,2.649640664681683,0.8627994770584159,186.58870312085253,19.307068996537648,102.39246710504369,270.78493913666136,0.9573149407184469,0.13598394684135712,0.047568005544610756,-0.0627695737336692,0.33473746741638344,0.9024267977678099,Na1O2,V->slot2.0
Na5Co3O8,-1.7709647933577137,0.4080525992645023,2.6014035457743097,0.2628871514089372,1.5067151723171084,3.696091919231511,0.864041140474181,186.44072644319172,33.60130854854165,39.90871241763591,332.97274046874753,0.9765142461779182,0.11076456278291832,0.034933541027687594,-0.035198342029088475,0.25672746759492515,0.842954082019334,Na5O8,Co->slot3.0
NaNi7(PO4)6,-1.8056012863736701,0.36559543853843585,3.8911852668372733,0.3970741408514212,2.237728857648229,5.544641676026318,0.9417689136437668,45.35280615956367,8.130669557718164,9.895752933568808,80.80985938555852,0.6725645268165668,0.04074176681601781,0.047255769718133785,-0.15670713799781688,0.23819067162985247,0.9659155599129244,Na1O24P6,Ni->slot7.0
Na9Ni15O32,-1.821624202225499,0.34665235117562077,3.577231422828433,0.34570088370038726,2.137698391059925,5.016764454596941,0.9253586517709539,82.80225740590126,18.092786673995096,3.901387612534137,161.70312719926838,0.8625206130073166,0.07538060393537763,0.034264535150625025,-0.06778699189049,0.21854819976124526,0.8764026240810864,Na9O32,Ni->slot15.0
